Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-94.5850,0.0000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-97.5950,0.0000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-100.6050,0.0000,top
"C4","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-103.6150,0.0000,top
"C5","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-106.6250,0.0000,top
"C6","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.9050,-109.6350,0.0000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-94.5850,0.0000,top
"C8","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-74.2550,0.0000,top
"C9","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-76.7650,0.0000,top
"C10","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-97.5950,0.0000,top
"C11","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-100.6050,0.0000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-103.6150,0.0000,top
"C13","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-79.2750,0.0000,top
"C14","22nF X7R 50V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-81.7850,0.0000,top
"C15","0.1uF X7R 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-84.2950,0.0000,top
"C16","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-106.6250,0.0000,top
"C17","0.1uF X7R 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-86.8050,0.0000,top
"C18","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.7150,-109.6350,0.0000,top
"C19","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-94.5850,0.0000,top
"C20","EEE-FT1V101AP","EEE1AA101SP",158.8250,-77.8250,0.0000,top
"C21","0.1uF X7R 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-89.3150,0.0000,top
"C22","0.1uF X7R 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.6750,-91.8250,0.0000,top
"C23","22nF X7R 50V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.0250,-74.2550,0.0000,top
"C24","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-97.5950,0.0000,top
"C25","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-100.6050,0.0000,top
"C26","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-103.6150,0.0000,top
"C27","EEE-FT1V101AP","EEE1AA101SP",158.8250,-87.4750,0.0000,top
"C28","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-106.6250,0.0000,top
"C29","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.5250,-109.6350,0.0000,top
"C30","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-94.5850,0.0000,top
"C31","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-97.5950,0.0000,top
"C32","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-100.6050,0.0000,top
"C33","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-103.6150,0.0000,top
"C34","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-106.6250,0.0000,top
"C35","470pF X7R 100V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.3350,-109.6350,0.0000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_Palconn_UTC16-G",162.9950,-115.2550,0.0000,top
"L1","IHLP1616BZER4R7M11","INDPM4441X200N",162.3650,-105.2620,0.0000,top
"Q1","AONR21307","DFN_3X3_EP",166.3770,-79.7000,0.0000,top
"R1","10R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.2650,-94.5550,0.0000,top
"R2","5K1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.2650,-97.5050,0.0000,top
"R3","49K9","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.2650,-100.4550,0.0000,top
"R6","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.0250,-81.7850,0.0000,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.0250,-84.2950,0.0000,top
"R8","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.0250,-86.8050,0.0000,top
"R9","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.0250,-89.3150,0.0000,top
"R10","8K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.0250,-91.8250,0.0000,top
"R11","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.3750,-74.2550,0.0000,top
"R12","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.3750,-76.7650,0.0000,top
"R13","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.3750,-79.2750,0.0000,top
"R14","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.3750,-81.7850,0.0000,top
"R15","8K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.3750,-84.2950,0.0000,top
"U1","HUSB238_xxxDD","WDFN-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm",167.2600,-75.2750,0.0000,top
"U2","AP63205WU","TSOT-23-6",161.3150,-95.4800,0.0000,top
"U3","AP2112K-3.3","SOT-23-5",161.3150,-100.1050,0.0000,top
"U4","PTR54L","PTR54L15",131.0500,-112.2500,0.0000,top
"U5","TMC2226-SA","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.75x6.2mm_ThermalVias",143.9250,-116.8600,0.0000,top
"U6","TMC2226-SA","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.75x6.2mm_ThermalVias",152.7750,-116.8600,0.0000,top
